frame,bbox,face_detect_conf,sex_decfunc,age_decfunc,sex_label,age_label
0,"(61, 100, 274, 313)",0.998,-12.125,3.164,f,26.637
0,"(951, -6, 1130, 172)",0.988,8.21,3.815,m,33.151
0,"(744, 17, 932, 206)",0.987,-8.046,2.439,f,19.393
0,"(557, 198, 733, 374)",0.934,8.402,2.761,m,22.614
0,"(312, 161, 497, 346)",0.809,-11.263,2.952,f,24.521
30,"(60, 107, 277, 324)",0.996,-12.138,3.505,f,30.053
30,"(944, -9, 1127, 173)",0.988,7.168,3.774,m,32.745
30,"(733, 17, 932, 215)",0.966,-8.177,2.68,f,21.804
30,"(563, 203, 739, 379)",0.891,5.52,2.96,m,24.605
30,"(311, 161, 496, 346)",0.797,-10.581,2.854,f,23.542
60,"(59, 108, 273, 322)",0.998,-13.641,3.33,f,28.299
60,"(944, -7, 1124, 172)",0.974,8.649,3.76,m,32.595
60,"(735, 14, 924, 203)",0.945,-7.742,2.333,f,18.327
60,"(564, 196, 741, 373)",0.808,2.84,2.334,m,18.344
90,"(37, 99, 262, 323)",0.999,-13.475,3.428,f,29.276
90,"(944, -7, 1120, 168)",0.925,8.645,4.022,m,35.215
90,"(734, 2, 923, 191)",0.891,-6.182,2.261,f,17.606
120,"(50, 97, 266, 312)",0.998,-12.636,3.161,f,26.608
120,"(948, -7, 1125, 169)",0.947,8.598,3.899,m,33.992
120,"(739, 0, 920, 180)",0.786,-5.297,2.675,f,21.751
120,"(317, 138, 474, 295)",0.68,-7.816,2.975,f,24.748
150,"(56, 104, 258, 306)",0.988,-11.473,3.064,f,25.639
150,"(571, 199, 731, 359)",0.832,14.129,3.23,m,27.296
150,"(942, -21, 1110, 146)",0.72,7.604,3.776,m,32.762
150,"(717, -7, 906, 181)",0.673,-3.253,2.938,f,24.384
180,"(43, 104, 245, 307)",0.979,-13.131,3.174,f,26.744
180,"(570, 203, 727, 360)",0.886,13.586,3.26,m,27.599
180,"(776, -5, 903, 121)",0.882,-4.634,2.96,f,24.601
210,"(582, 198, 723, 340)",0.982,10.454,3.248,m,27.475
240,"(789, 83, 928, 222)",0.985,-3.515,2.45,f,19.502
240,"(250, 93, 411, 254)",0.954,-5.649,2.697,f,21.972
240,"(575, 220, 740, 385)",0.764,14.994,3.45,m,29.5
270,"(850, 61, 974, 184)",0.996,-7.732,2.678,f,21.785
270,"(260, 109, 401, 250)",0.993,-8.982,3.152,f,26.52
270,"(600, 231, 755, 386)",0.806,10.719,3.247,m,27.47
300,"(-15, 146, 203, 365)",0.998,-7.135,2.931,f,24.308
300,"(872, 90, 996, 215)",0.996,-8.631,2.329,f,18.285
300,"(332, 150, 466, 284)",0.975,-7.06,2.921,f,24.209
300,"(594, 253, 764, 424)",0.797,12.526,2.931,m,24.311
330,"(874, 92, 1009, 227)",0.998,-7.813,2.819,f,23.194
330,"(335, 167, 463, 295)",0.992,-8.367,2.81,f,23.096
330,"(609, 285, 769, 446)",0.861,11.399,2.957,m,24.572
