frame,bbox,detect_conf,sex_decfunc,age_decfunc,sex_label,age_label
0,"(945, -17, 1139, 177)",0.999998927116394,8.408013,3.9126964,m,34.12696361541748
0,"(71, 119, 272, 320)",0.9999958872795105,-13.514767,3.1241808,f,26.24180793762207
0,"(311, 163, 491, 343)",0.99997878074646,-11.023161,3.035822,f,25.358219146728516
0,"(558, 202, 728, 371)",0.9999741911888123,8.824918,2.910231,m,24.10231113433838
0,"(745, 23, 930, 208)",0.9815391302108765,-7.9449368,2.427218,f,19.27217960357666
30,"(939, -18, 1134, 178)",0.9999975562095642,8.66655,3.8259254,m,33.25925350189209
30,"(67, 120, 275, 328)",0.9999954104423523,-13.566573,3.3952096,f,28.95209550857544
30,"(563, 211, 735, 382)",0.9999833106994629,6.452078,3.148715,m,26.487150192260742
30,"(310, 166, 488, 345)",0.999955415725708,-10.2110615,2.942617,f,24.426169395446777
60,"(324, 162, 498, 336)",0.9999985694885254,-9.655956,2.8023229,f,23.023228645324707
60,"(65, 120, 275, 329)",0.9999939799308777,-12.8054085,3.4230266,f,29.230265617370605
60,"(940, -19, 1132, 172)",0.9999918937683105,7.6129293,3.8318195,m,33.31819534301758
60,"(736, 16, 921, 201)",0.9999757409095764,-7.658807,2.2825313,f,17.825312614440918
60,"(568, 210, 722, 365)",0.9979824423789978,3.2328742,2.399405,m,18.99405002593994
90,"(328, 152, 499, 324)",0.9999998211860657,-8.948177,2.706722,f,22.067220211029053
90,"(48, 112, 260, 324)",0.9999968409538269,-12.759614,3.3453922,f,28.453922271728516
90,"(937, -23, 1132, 172)",0.999991774559021,7.680275,4.28607,m,37.86069869995117
90,"(733, 3, 923, 194)",0.9999872446060181,-6.581278,2.3319654,f,18.31965446472168
120,"(54, 109, 264, 319)",0.9999979138374329,-13.380546,3.1912646,f,26.912646293640137
120,"(941, -22, 1133, 170)",0.999992311000824,7.9529266,3.7858024,m,32.85802364349365
120,"(316, 139, 479, 302)",0.9999554753303528,-7.4268904,2.9978461,f,24.978461265563965
120,"(741, 0, 919, 177)",0.9999345541000366,-5.9858694,2.6172874,f,21.172873973846436
150,"(574, 200, 736, 362)",0.9999974966049194,13.826057,3.0237477,m,25.23747682571411
150,"(65, 118, 258, 310)",0.9999876618385315,-12.087894,3.0063727,f,25.063726902008057
150,"(928, -22, 1121, 172)",0.9999471306800842,8.238955,3.8806236,m,33.806235790252686
150,"(720, -3, 909, 186)",0.9997230172157288,-2.301805,2.9686346,f,24.68634605407715
180,"(48, 118, 238, 308)",0.9999919533729553,-13.0197315,3.2701797,f,27.701797485351562
180,"(560, 195, 730, 365)",0.9999843239784241,13.160944,3.246407,m,27.464070320129395
180,"(771, -6, 902, 126)",0.9999769926071167,-2.936845,2.870233,f,23.702330589294434
210,"(582, 199, 723, 340)",0.9999820590019226,11.44872,3.2624712,m,27.624711990356445
240,"(795, 93, 924, 222)",0.9999987483024597,-2.5397959,2.541709,f,20.417089462280273
240,"(572, 226, 724, 378)",0.9999974966049194,13.691477,3.6876097,m,31.876096725463867
240,"(259, 100, 414, 255)",0.9999967813491821,-6.805784,2.659952,f,21.5995192527771
270,"(851, 62, 976, 187)",0.9999988675117493,-6.905672,2.6400628,f,21.400628089904785
270,"(593, 231, 758, 396)",0.9999987483024597,11.844179,3.138774,m,26.387739181518555
270,"(258, 107, 404, 252)",0.9999956488609314,-9.465091,3.121687,f,26.216869354248047
300,"(588, 251, 768, 432)",0.9999998211860657,14.805652,3.0246308,m,25.246307849884033
300,"(-14, 131, 211, 357)",0.9999982118606567,-6.9033775,2.958482,f,24.58482027053833
300,"(868, 95, 990, 217)",0.9999959468841553,-7.418845,2.167179,f,16.671791076660156
300,"(333, 150, 463, 280)",0.9999813437461853,-6.614667,2.926899,f,24.26898956298828
330,"(879, 95, 1007, 223)",0.9999998211860657,-8.302603,2.727991,f,22.279911041259766
330,"(600, 275, 784, 459)",0.9999994039535522,13.822707,2.9908233,m,24.90823268890381
330,"(74, 155, 283, 363)",0.9999787211418152,-8.20356,2.920132,f,24.201319217681885
330,"(334, 164, 469, 298)",0.9999697804450989,-7.8566027,2.8978493,f,23.978493213653564
